"Piezo Voltage (V)";"Fast In 3 (V)";"Lock-In Out (V)";
39.484108;0.29503679;-3.8670449e-05;
39.534863;0.29494873;5.1874995e-06;
39.585606;0.29482618;-1.7920453e-05;
39.63636;0.29458451;-0.00012968748;
39.687107;0.29469189;-2.4994315e-05;
39.737862;0.29456297;-4.5744313e-05;
39.788605;0.29456884;2.3579543e-05;
39.839302;0.29444897;5.7062494e-05;
39.890057;0.29425085;-3.5840905e-05;
39.940804;0.29432374;-4.3386357e-05;
39.991558;0.2943235;-3.3011358e-05;
40.042301;0.294175;-5.2818177e-05;
40.093056;0.29394922;3.4426132e-05;
40.143803;0.29396245;2.8295452e-05;
40.194508;0.29372197;8.9602263e-06;
40.245255;0.2938323;-3.5840905e-05;
40.296009;0.29369777;-3.6784088e-05;
40.346752;0.29347345;3.2068179e-05;
40.397507;0.29349375;6.9323854e-05;
40.448254;0.29344213;1.603409e-05;
40.499008;0.29324889;2.3107952e-05;
40.549706;0.29298788;0.00010893749;
40.60046;0.29303974;6.2721585e-05;
40.651203;0.29281935;-7.9227262e-05;
40.701958;0.29269311;-2.6409089e-05;
40.752705;0.29243016;-8.0642036e-05;
40.803459;0.29196855;-8.9602263e-06;
40.854202;0.2916941;-4.7159085e-07;
40.9049;0.29156029;-3.0653406e-05;
40.955654;0.29094777;-2.782386e-05;
41.006401;0.29039493;-7.4982949e-05;
41.057156;0.28987756;-2.3579543e-05;
41.107899;0.28914493;8.4886356e-05;
41.158653;0.28831202;1.6505679e-05;
41.2094;0.28731203;-4.1028405e-05;
41.260105;0.28598472;-1.7920453e-05;
41.310852;0.28472129;2.4994315e-05;
41.361607;0.28339913;5.4704538e-05;
41.41235;0.2814483;-7.5454536e-06;
41.463104;0.27945003;-6.8380672e-05;
41.513851;0.27743217;2.3579543e-05;
41.564606;0.27507502;5.1874995e-06;
41.615303;0.27256894;5.1874995e-06;
41.666046;0.26978272;2.4051133e-05;
41.716801;0.26687887;-1.0846589e-05;
41.767548;0.26379889;-8.8659079e-05;
41.818302;0.26094812;-5.4232947e-05;
41.869045;0.25817758;-2.4994315e-05;
41.9198;0.25526935;0.00015845452;
41.970497;0.25239998;-1.9806816e-05;
42.021252;0.24952547;-9.0073852e-05;
42.071999;0.2473496;-0.00019759657;
42.122753;0.2448682;-0.00010752271;
42.173496;0.24336185;-0.00010139203;
42.224251;0.24205485;-0.00011223862;
42.274998;0.2413457;-0.00011223862;
42.325703;0.24159572;-0.00019523861;
42.37645;0.24409765;-0.00027965338;
42.427204;0.2433939;-0.00048951129;
42.477947;0.23939538;0.0011068237;
42.528702;0.23879997;0.00026078973;
42.579449;0.23910452;-0.00049799995;
42.630203;0.23972927;-0.00046781811;
42.680901;0.24146949;-0.00011742612;
42.731644;0.24357565;-0.00010846589;
42.782398;0.24570943;-1.2732953e-05;
42.833145;0.24807514;-0.00014713635;
42.8839;0.25073412;-0.00010422158;
42.934643;0.25338554;-7.7812489e-05;
42.985397;0.25616756;1.1789772e-05;
43.036095;0.25884393;3.3011358e-05;
43.086849;0.26155868;6.8852263e-05;
43.137596;0.26384732;1.2732953e-05;
43.188351;0.2658911;-6.7909081e-05;
43.239094;0.26799604;-5.3761356e-05;
43.289848;0.26976416;7.2624993e-05;
43.340595;0.2721318;0.00011695453;
43.3913;0.27458826;-0.00012827272;
43.442047;0.27323648;0.00085499423;
43.492802;0.27252367;0.00021598861;
43.543545;0.27170691;8.3471583e-05;
43.594299;0.27094248;-1.8863633e-05;
43.645046;0.27003029;8.3471583e-05;
43.695801;0.26880157;8.7715896e-05;
43.746498;0.26747429;0.00010044885;
43.797241;0.26605037;2.8767043e-05;
43.847996;0.26465383;-5.9892038e-05;
43.898743;0.26290751;-2.0749998e-05;
43.949497;0.26139235;-2.6409089e-05;
44.00024;0.25996721;-0.00012968748;
44.050995;0.25858805;-2.5465906e-05;
44.101692;0.25749731;-0.00010940908;
44.152447;0.25645646;-6.0363629e-05;
44.203194;0.25607267;-0.00017778976;
44.253948;0.2564978;-0.00021032953;
44.304691;0.25807682;-0.00026739202;
44.355446;0.25848019;-0.00042301699;
44.406193;0.25513896;0.00098609645;
44.456898;0.25314313;-0.00010044885;
44.507645;0.25227082;-0.0002938011;
44.558399;0.25224832;-0.00018627838;
44.609142;0.2520844;-0.00011459658;
44.659897;0.25221774;-9.5261355e-05;
44.710644;0.25212038;4.1499996e-05;
44.761398;0.25195011;2.5465906e-05;
44.812096;0.25158074;-1.0846589e-05;
44.862839;0.25101838;9.431817e-07;
44.913593;0.25001347;7.5454533e-05;
44.96434;0.24840048;9.1488626e-05;
45.015095;0.24638923;6.4136359e-05;
45.065838;0.24410255;0.00011742612;
45.116592;0.24147242;0.00011884089;
45.16729;0.23811285;7.2624993e-05;
45.218044;0.23363391;0.00011318181;
45.268791;0.22903167;-3.5369314e-05;
45.319546;0.22414812;-9.4318166e-06;
45.370289;0.21908796;4.7159083e-06;
45.421043;0.21374503;0.00014053407;
45.47179;0.20831574;8.2528401e-05;
45.522495;0.20262766;-0.00013534658;
45.573242;0.1971969;-0.00018957953;
45.623997;0.19181482;-0.00010988067;
45.67474;0.18725614;-3.914204e-05;
45.725494;0.18287773;-0.00012308521;
45.776241;0.17910793;-0.00020749998;
45.826996;0.1760485;-0.00030559086;
45.877693;0.17434034;-0.00026974996;
45.928436;0.17520089;-0.00037444313;
45.979191;0.1804;-0.00069795444;
46.029938;0.16924226;-0.000485267;
46.080692;0.16391474;0.0015039032;
46.131435;0.16196539;-0.00080123288;
46.18219;0.16156471;-0.00068144879;
46.232887;0.16215961;-0.000516392;
46.283642;0.16415691;-0.00039189201;
46.334389;0.1687775;-0.00032162498;
46.385143;0.1814521;-0.00081821013;
46.435886;0.17964879;-0.0021726191;
46.486641;0.17485574;0.0034789257;
46.537388;0.1746603;-0.00033247154;
46.588093;0.17639537;-0.00048102267;
46.63884;0.17910108;-0.00042490335;
46.689594;0.18300518;-0.00029521587;
46.740337;0.18840829;-0.00030276133;
46.791092;0.1961135;-0.00031926701;
46.841839;0.19916999;-0.00039896587;
46.892593;0.19812229;0.0016637725;
46.943291;0.19962791;-0.00011884089;
46.994034;0.20323063;-0.00033671586;
47.044788;0.20706575;-0.00017448861;
47.095535;0.21124382;-3.3011361e-06;
47.14629;0.21572864;-4.6687495e-05;
47.197033;0.22079197;-0.00011648294;
47.247787;0.22564249;0.00015232385;
47.298485;0.23013146;0.00018439202;
47.349239;0.23483399;0.00014006249;
47.399986;0.23940271;-1.697727e-05;
47.450741;0.24370529;1.0374999e-05;
47.501484;0.24805582;8.6301123e-05;
47.552238;0.25220942;8.3471583e-05;
47.602985;0.25585666;9.3374991e-05;
47.65369;0.25930822;6.7909081e-05;
47.704437;0.26261643;-3.0181815e-05;
47.755192;0.26569298;0.00013534658;
47.805935;0.26812056;0.00016647157;
47.856689;0.270237;4.2443178e-05;
47.907436;0.27231207;6.8380672e-05;
47.958191;0.27415478;6.9795446e-05;
48.008888;0.27541137;4.8102265e-05;
48.059631;0.27678832;0.00013770453;
48.110386;0.27776581;7.7340897e-05;
48.161133;0.27842629;-2.7352269e-05;
48.211887;0.27917579;3.1596588e-05;
48.26263;0.27985632;3.7255679e-05;
48.313385;0.28026336;1.8392044e-05;
48.364082;0.28067189;2.4994315e-05;
48.414837;0.28071591;-3.4897723e-05;
48.465584;0.2810941;1.603409e-05;
48.516338;0.28114352;1.0374999e-05;
48.567081;0.28109702;5.3289765e-05;
48.617836;0.28126019;-6.4136359e-05;
48.668583;0.28140599;5.1874995e-05;
48.719288;0.28118533;-3.6312496e-05;
48.770035;0.28105691;6.2249994e-05;
48.820789;0.28103977;-8.9602261e-05;
48.871532;0.28103587;-9.3374991e-05;
48.922287;0.28091797;-1.5090907e-05;
48.973034;0.28085998;-8.4886351e-06;
49.023788;0.28087565;-2.216477e-05;
49.074486;0.28079492;-7.2153402e-05;
49.125229;0.28082451;2.8295452e-05;
49.175983;0.28067335;2.3579541e-06;
49.22673;0.28070882;-5.1874995e-06;
49.277485;0.28067115;-5.7534085e-05;
49.328228;0.28078392;-4.6687495e-05;
49.378983;0.28056499;-2.6409089e-05;
49.42968;0.2805393;3.9613631e-05;
49.480434;0.280485;-6.3193176e-05;
49.531181;0.28046834;-2.6409089e-05;
49.581936;0.28035533;-8.4886351e-06;
49.632679;0.28029957;9.4318166e-06;
49.683434;0.28029418;-1.8392044e-05;
49.73418;0.28029639;-8.8187488e-05;
49.784885;0.2803967;-2.5465906e-05;
49.835632;0.28019047;-1.2732953e-05;
49.886387;0.28017187;-2.3579543e-05;
49.93713;0.28005815;-1.131818e-05;
49.987877;0.28016064;1.3676135e-05;
50.038631;0.28017041;-6.1778403e-05;
50.089375;0.28006572;-3.9613631e-05;
50.140083;0.27984679;-8.9602263e-06;
50.190826;0.27985778;-6.9323854e-05;
50.241581;0.27999306;-4.3386357e-05;
50.292328;0.27988347;5.6590902e-06;
50.343082;0.27976412;-6.4136359e-05;
50.393829;0.27964669;2.0278407e-05;
50.444584;0.2795459;6.6022722e-06;
50.495281;0.27965426;-1.9806816e-05;
50.546036;0.2793304;-2.9238632e-05;
50.596779;0.27942923;-2.8767043e-05;
50.647533;0.27941209;-9.431817e-07;
50.69828;0.27922106;-5.3761356e-05;
50.749035;0.27931255;-4.0556813e-05;
50.799778;0.27898476;-3.914204e-05;
50.850475;0.27899992;-1.7920453e-05;
50.90123;0.27900651;-1.4147726e-06;
50.951977;0.27882624;1.8863633e-05;
51.002731;0.27868998;-6.083522e-05;
51.053474;0.27875409;8.9602263e-06;
51.104229;0.27841845;5.3289765e-05;
51.154976;0.2784175;5.2818177e-05;
51.205681;0.27829176;-4.7159083e-06;
51.256428;0.27817383;-4.2914766e-05;
51.307182;0.27804199;2.2636361e-05;
51.357925;0.27781892;1.4147726e-06;
51.40868;0.27760366;-2.782386e-05;
51.459427;0.27721202;-3.8670449e-05;
51.510181;0.27691701;-2.9710223e-05;
51.560879;0.2764762;-1.3676135e-05;
51.611633;0.27606255;-1.5090907e-05;
51.662376;0.27553809;-3.6312496e-05;
51.713131;0.27480108;9.4318166e-06;
51.763878;0.27414694;2.0749998e-05;
51.814632;0.27328199;7.0738628e-05;
51.865376;0.27192095;2.3579541e-06;
51.916073;0.27094465;-1.603409e-05;
51.966827;0.26941457;8.0170448e-06;
52.017574;0.26789698;1.9806816e-05;
52.068329;0.26614723;9.4318166e-06;
52.119072;0.26427004;-3.6784088e-05;
52.169827;0.26197749;3.395454e-05;
52.220573;0.25980723;6.8852263e-05;
52.271278;0.25752154;-1.9806816e-05;
52.322025;0.25490388;-7.7340897e-05;
52.37278;0.25225613;-1.7920453e-05;
52.423523;0.2495064;-1.2261362e-05;
52.474277;0.2466221;-4.7630678e-05;
52.525024;0.24385843;-9.8090895e-05;
52.575779;0.24102673;-9.6204531e-05;
52.626476;0.23827283;-0.00011695453;
52.677231;0.23576207;-0.00016269884;
52.727974;0.23341081;-8.0642036e-05;
52.778728;0.23183058;-0.00014194884;
52.829475;0.23163;-0.00040179541;
52.88023;0.22548251;0.001144551;
52.930973;0.22099574;8.4414765e-05;
52.98167;0.21795171;-0.00026503406;
53.032425;0.21533358;-0.00022777838;
53.083172;0.21379249;-0.00022494883;
53.133926;0.21297815;-0.00020514202;
53.184669;0.21477413;-0.000516392;
53.235424;0.21582648;-0.00069229538;
53.286171;0.20807308;0.0017580907;
53.336876;0.20414306;-0.00019571021;
53.387623;0.20195961;-0.00051261927;
53.438377;0.20141289;-0.00041877269;
53.48912;0.20177051;-0.00041782949;
53.539875;0.20447281;-0.00062014197;
53.590622;0.20993169;-0.0006691874;
53.641376;0.21147302;-0.0006691874;
53.692074;0.20693512;0.00089932373;
53.742828;0.20596522;0.00096676126;
53.793571;0.20699041;-0.00042207382;
53.844326;0.20902416;-0.00042207382;
53.895073;0.21165307;-0.00030983519;
53.945827;0.21492091;-0.00020467043;
53.996571;0.21866868;-0.00019288066;
54.047268;0.22260483;-3.3011361e-06;
54.098022;0.22650722;-8.6772714e-05;
54.148769;0.23043039;-5.3289765e-05;
