0,3.02E+00,1.28E-01
1,3.06E+00,2.40E-02
2,3.02E+00,3.20E-02
3,3.06E+00,-2.40E-02
4,3.06E+00,8.00E-03
5,3.02E+00,1.20E-01
6,3.06E+00,1.28E-01
7,3.02E+00,4.00E-02
8,3.02E+00,4.80E-02
9,3.06E+00,-1.60E-02
10,3.06E+00,0.00E+00
11,3.02E+00,1.20E-01
12,3.06E+00,1.28E-01
13,3.02E+00,4.80E-02
14,3.02E+00,5.60E-02
15,3.06E+00,-1.60E-02
16,3.06E+00,-8.00E-03
17,3.02E+00,1.12E-01
18,3.06E+00,1.28E-01
19,3.02E+00,6.40E-02
20,3.06E+00,8.00E-02
21,3.02E+00,-1.60E-02
22,3.06E+00,-1.60E-02
23,3.02E+00,9.60E-02
24,3.06E+00,1.20E-01
25,3.02E+00,7.20E-02
26,3.02E+00,8.80E-02
27,3.06E+00,-1.60E-02
28,3.02E+00,-1.60E-02
29,3.06E+00,8.80E-02
30,3.06E+00,7.20E-02
31,3.02E+00,1.20E-01
32,3.06E+00,8.80E-02
33,3.02E+00,-1.60E-02
34,3.06E+00,-1.60E-02
35,3.02E+00,7.20E-02
36,3.06E+00,5.60E-02
37,3.02E+00,1.20E-01
38,3.06E+00,9.60E-02
39,3.02E+00,-8.00E-03
40,3.02E+00,-1.60E-02
41,3.10E+00,6.40E-02
42,3.02E+00,4.80E-02
43,3.06E+00,1.04E-01
44,3.02E+00,1.04E-01
45,3.06E+00,0.00E+00
46,3.02E+00,-1.60E-02
47,3.10E+00,4.80E-02
48,3.02E+00,4.00E-02
49,3.06E+00,1.12E-01
50,3.06E+00,1.04E-01
51,3.02E+00,8.00E-03
52,3.06E+00,-1.60E-02
53,3.02E+00,4.00E-02
54,3.06E+00,2.40E-02
55,3.02E+00,1.12E-01
56,3.02E+00,1.12E-01
57,3.06E+00,1.60E-02
58,3.02E+00,3.20E-02
59,3.06E+00,-1.60E-02
60,3.02E+00,1.60E-02
61,3.06E+00,9.60E-02
62,3.02E+00,9.60E-02
63,3.06E+00,2.40E-02
64,3.02E+00,4.00E-02
65,3.08E+00,-8.00E-03
66,3.06E+00,8.00E-03
67,3.02E+00,9.60E-02
68,3.06E+00,9.60E-02
69,3.02E+00,3.20E-02
