Spatial Frequency	  Tangential	    Sagittal
         0.000000	    1.000000	    1.000000
         2.000000	    0.998043	    0.998050
         4.000000	    0.996077	    0.996091
         6.000000	    0.994096	    0.994117
         8.000000	    0.992090	    0.992118
        10.000000	    0.990051	    0.990088
        12.000000	    0.987971	    0.988016
        14.000000	    0.985843	    0.985897
        16.000000	    0.983657	    0.983721
        18.000000	    0.981406	    0.981480
        20.000000	    0.979082	    0.979167
        22.000000	    0.976675	    0.976773
        24.000000	    0.974179	    0.974291
        26.000000	    0.971586	    0.971712
        28.000000	    0.968889	    0.969031
        30.000000	    0.966088	    0.966247
        32.000000	    0.963185	    0.963363
        34.000000	    0.960183	    0.960381
        36.000000	    0.957087	    0.957306
        38.000000	    0.953900	    0.954140
        40.000000	    0.950626	    0.950889
        42.000000	    0.947270	    0.947555
        44.000000	    0.943834	    0.944143
        46.000000	    0.940324	    0.940656
        48.000000	    0.936743	    0.937097
        50.000000	    0.933095	    0.933472
        52.000000	    0.929383	    0.929783
        54.000000	    0.925612	    0.926033
        56.000000	    0.921783	    0.922225
        58.000000	    0.917900	    0.918362
        60.000000	    0.913963	    0.914445
        62.000000	    0.909975	    0.910476
        64.000000	    0.905938	    0.906457
        66.000000	    0.901852	    0.902388
        68.000000	    0.897720	    0.898272
        70.000000	    0.893543	    0.894111
        72.000000	    0.889322	    0.889905
        74.000000	    0.885059	    0.885655
        76.000000	    0.880755	    0.881365
        78.000000	    0.876411	    0.877033
        80.000000	    0.872030	    0.872664
        82.000000	    0.867613	    0.868257
        84.000000	    0.863161	    0.863815
        86.000000	    0.858677	    0.859339
        88.000000	    0.854161	    0.854831
        90.000000	    0.849616	    0.850293
        92.000000	    0.845043	    0.845726
        94.000000	    0.840444	    0.841132
        96.000000	    0.835821	    0.836513
        98.000000	    0.831175	    0.831871
       100.000000	    0.826508	    0.827207
       102.000000	    0.821822	    0.822522
       104.000000	    0.817119	    0.817820
       106.000000	    0.812400	    0.813101
       108.000000	    0.807667	    0.808368
       110.000000	    0.802921	    0.803622
       112.000000	    0.798166	    0.798865
       114.000000	    0.793401	    0.794098
       116.000000	    0.788628	    0.789322
       118.000000	    0.783848	    0.784539
       120.000000	    0.779063	    0.779750
       122.000000	    0.774274	    0.774956
       124.000000	    0.769481	    0.770159
       126.000000	    0.764688	    0.765360
       128.000000	    0.759893	    0.760560
       130.000000	    0.755100	    0.755762
       132.000000	    0.750310	    0.750965
       134.000000	    0.745522	    0.746171
       136.000000	    0.740740	    0.741382
       138.000000	    0.735963	    0.736599
       140.000000	    0.731193	    0.731823
       142.000000	    0.726431	    0.727054
       144.000000	    0.721678	    0.722294
       146.000000	    0.716934	    0.717543
       148.000000	    0.712200	    0.712802
       150.000000	    0.707477	    0.708072
       152.000000	    0.702767	    0.703355
       154.000000	    0.698069	    0.698650
       156.000000	    0.693384	    0.693958
       158.000000	    0.688714	    0.689281
       160.000000	    0.684060	    0.684620
       162.000000	    0.679421	    0.679975
       164.000000	    0.674800	    0.675347
       166.000000	    0.670196	    0.670737
       168.000000	    0.665610	    0.666146
       170.000000	    0.661044	    0.661573
       172.000000	    0.656496	    0.657020
       174.000000	    0.651968	    0.652487
       176.000000	    0.647461	    0.647974
       178.000000	    0.642974	    0.643482
       180.000000	    0.638508	    0.639011
       182.000000	    0.634064	    0.634562
       184.000000	    0.629643	    0.630135
       186.000000	    0.625243	    0.625731
       188.000000	    0.620867	    0.621350
       190.000000	    0.616515	    0.616993
       192.000000	    0.612187	    0.612660
       194.000000	    0.607883	    0.608352
       196.000000	    0.603604	    0.604068
       198.000000	    0.599351	    0.599810
       200.000000	    0.595123	    0.595577
       202.000000	    0.590921	    0.591371
       204.000000	    0.586746	    0.587191
       206.000000	    0.582597	    0.583037
       208.000000	    0.578475	    0.578911
       210.000000	    0.574381	    0.574812
       212.000000	    0.570315	    0.570741
       214.000000	    0.566275	    0.566696
       216.000000	    0.562265	    0.562681
       218.000000	    0.558288	    0.558698
       220.000000	    0.554332	    0.554737
