     4.34000000	     0.00578182	     0.00591974	     0.17356352	     0.17372001	    -0.09008244 %
     4.41000000	     0.00576096	     0.00590360	     0.17635779	     0.17652194	    -0.09299251 %
     4.48000000	     0.00573975	     0.00588721	     0.17915182	     0.17932388	    -0.09594920 %
     4.55000000	     0.00571818	     0.00587056	     0.18194560	     0.18212581	    -0.09895251 %
     4.62000000	     0.00569626	     0.00585365	     0.18473912	     0.18492775	    -0.10200246 %
     4.69000000	     0.00567399	     0.00583649	     0.18753238	     0.18772968	    -0.10509903 %
     4.76000000	     0.00565136	     0.00581907	     0.19032538	     0.19053162	    -0.10824224 %
     4.83000000	     0.00562838	     0.00580138	     0.19311812	     0.19333356	    -0.11143209 %
     4.90000000	     0.00560505	     0.00578344	     0.19591059	     0.19613549	    -0.11466858 %
     4.97000000	     0.00558135	     0.00576525	     0.19870278	     0.19893743	    -0.11795171 %
     5.04000000	     0.00555730	     0.00574679	     0.20149469	     0.20173936	    -0.12128149 %
     5.11000000	     0.00553289	     0.00572808	     0.20428632	     0.20454130	    -0.12465792 %
     5.18000000	     0.00550811	     0.00570911	     0.20707767	     0.20734323	    -0.12808101 %
     5.25000000	     0.00548298	     0.00568988	     0.20986872	     0.21014517	    -0.13155075 %
     5.32000000	     0.00545749	     0.00567039	     0.21265948	     0.21294711	    -0.13506715 %
     5.39000000	     0.00543163	     0.00565065	     0.21544995	     0.21574904	    -0.13863022 %
     5.46000000	     0.00540541	     0.00563064	     0.21824011	     0.21855098	    -0.14223996 %
     5.53000000	     0.00537882	     0.00561038	     0.22102997	     0.22135291	    -0.14589637 %
     5.60000000	     0.00535187	     0.00558986	     0.22381951	     0.22415485	    -0.14959945 %
     5.67000000	     0.00532455	     0.00556909	     0.22660875	     0.22695678	    -0.15334921 %
     5.74000000	     0.00529686	     0.00554805	     0.22939766	     0.22975872	    -0.15714565 %
     5.81000000	     0.00526880	     0.00552676	     0.23218626	     0.23256065	    -0.16098879 %
     5.88000000	     0.00524038	     0.00550521	     0.23497453	     0.23536259	    -0.16487861 %
     5.95000000	     0.00521158	     0.00548340	     0.23776247	     0.23816453	    -0.16881512 %
     6.02000000	     0.00518240	     0.00546134	     0.24055007	     0.24096646	    -0.17279834 %
     6.09000000	     0.00515286	     0.00543901	     0.24333735	     0.24376840	    -0.17682826 %
     6.16000000	     0.00512294	     0.00541643	     0.24612427	     0.24657033	    -0.18090488 %
     6.23000000	     0.00509264	     0.00539359	     0.24891086	     0.24937227	    -0.18502821 %
     6.30000000	     0.00506197	     0.00537049	     0.25169709	     0.25217420	    -0.18919826 %
     6.37000000	     0.00503092	     0.00534714	     0.25448298	     0.25497614	    -0.19341503 %
     6.44000000	     0.00499948	     0.00532352	     0.25726850	     0.25777807	    -0.19767852 %
     6.51000000	     0.00496767	     0.00529965	     0.26005367	     0.26058001	    -0.20198874 %
     6.58000000	     0.00493548	     0.00527552	     0.26283847	     0.26338195	    -0.20634569 %
     6.65000000	     0.00490290	     0.00525114	     0.26562290	     0.26618388	    -0.21074938 %
     6.72000000	     0.00486994	     0.00522649	     0.26840696	     0.26898582	    -0.21519981 %
     6.79000000	     0.00483659	     0.00520159	     0.27119064	     0.27178775	    -0.21969698 %
     6.86000000	     0.00480285	     0.00517643	     0.27397395	     0.27458969	    -0.22424090 %
     6.93000000	     0.00476873	     0.00515101	     0.27675686	     0.27739162	    -0.22883158 %
     7.00000000	     0.00473421	     0.00512533	     0.27953939	     0.28019356	    -0.23346901 %
